"code","uri","dataset_code","label_en","label_fr"
"DTS",NA,"DI","Discarded - too small. Fish of no commercial value due to being of small size","Rejeté - trop petit. Poisson sans valeur commerciale en raison de sa petite taille"
"DUS",NA,"DI","Discarded - unwanted species (e.g. with no commercial value or other than target species)","Rejeté - espèces indésirables (par exemple sans valeur commerciale ou autres que les espèces cibles)"
"DRB",NA,"DI","Discarded - retention ban on the species (flag state measures)","Rejeté - en raison de l’interdiction de rétention de l'espèce (mesures de l'État du pavillon)"
"DFL",NA,"DI","Discarded - vessel fully loaded","Rejeté - navire entiérement chargé"
"DUD",NA,"DI","Discarded - retention ban on the species (IOTC)","Rejeté - en raison de l’interdiction de rétention de l'espèce (mesures de la CTOI)"
"DPQ",NA,"DI","Discarded - unfit for human consumption","Rejeté - impropres à la consommation humaine"
"DDL",NA,"DI","Discarded - too difficult to land","Rejeté - trop difficile d'embarquer"
"DFR",NA,"DI","Discarded - trunk discarded, fins retained (shark only)","Rejeté - carcasse rejeté - ailerons conservés à bord"
"RCC",NA,"RC","Retained - crew consumption","Conservé à bord - consommation de l'équipage"
"RFL",NA,"RC","Retained - for landing / sale","Conservé à bord - pour être débarqué / vendue"
"RFR",NA,"RC","Retained - trunk and fins retained (shark only)","Tronc retenu - ailerons retenus (requin seulement)"
"RFT",NA,"RC","Retained - at-sea-transhipment","Conservé à bord - pour transbordement en mer"
"ESC",NA,"DI","Escaped","Échappé"
"DDM",NA,"DI","Discarded - depredated by mammals","Rejeté - déprédation par des mammifères marins"
"DDS",NA,"DI","Discarded - depredated by sharks","Rejeté - déprédation par des requins"
"RFB",NA,"RC","Retained - used as bait","Conservé à bord – utilisé comme appât"
"DTR",NA,"DI","Discarded - trunk retained, fins discarded (shark only)","Ailerons jetés - tronc conservé (requin seulement)"
"DUN",NA,"DI","Discarded - unspecified reason","Rejeté - raison inconnue"
